name	component	type	tracked_point	units	sampling_frequency	reference_frame
latency	n/a	LATENCY	n/a	s	72.0	n/a
latency_global	n/a	LATENCY	n/a	s	72.0	n/a
FocusedObject	n/a	MISC	FocusedObject	n/a	72.0	n/a
shouldRecenter	n/a	MISC	shouldRecenter	n/a	72.0	n/a
recenterEvent	n/a	MISC	recenterEvent	n/a	72.0	n/a
RecenterCount	n/a	MISC	RecenterCount	n/a	72.0	n/a
TrackingOriginChange_Event	n/a	MISC	TrackingOriginChange_Event	n/a	72.0	n/a
TrackingOriginChange_PrevPose_px	x	POS	TrackingOriginChange_PrevPose	m	72.0	global
TrackingOriginChange_PrevPose_py	y	POS	TrackingOriginChange_PrevPose	m	72.0	global
TrackingOriginChange_PrevPose_pz	z	POS	TrackingOriginChange_PrevPose	m	72.0	global
TrackingOriginChange_PrevPose_qx	quat_x	ORNT	TrackingOriginChange_PrevPose	n/a	72.0	global
TrackingOriginChange_PrevPose_qy	quat_y	ORNT	TrackingOriginChange_PrevPose	n/a	72.0	global
TrackingOriginChange_PrevPose_qz	quat_z	ORNT	TrackingOriginChange_PrevPose	n/a	72.0	global
TrackingOriginChange_PrevPose_qw	quat_w	ORNT	TrackingOriginChange_PrevPose	n/a	72.0	global
TrackingTransform_px	x	POS	TrackingTransform	m	72.0	global
TrackingTransform_py	y	POS	TrackingTransform	m	72.0	global
TrackingTransform_pz	z	POS	TrackingTransform	m	72.0	global
TrackingTransform_qx	quat_x	ORNT	TrackingTransform	n/a	72.0	global
TrackingTransform_qy	quat_y	ORNT	TrackingTransform	n/a	72.0	global
TrackingTransform_qz	quat_z	ORNT	TrackingTransform	n/a	72.0	global
TrackingTransform_qw	quat_w	ORNT	TrackingTransform	n/a	72.0	global
UserPresent	n/a	MISC	UserPresent	n/a	72.0	n/a
TrackingLost	n/a	MISC	TrackingLost	n/a	72.0	n/a
Node_Head_Present	n/a	MISC	Node_Head	boolean	72.0	n/a
Node_Head_px	x	POS	Node_Head	m	72.0	global
Node_Head_py	y	POS	Node_Head	m	72.0	global
Node_Head_pz	z	POS	Node_Head	m	72.0	global
Node_Head_qx	quat_x	ORNT	Node_Head	n/a	72.0	global
Node_Head_qy	quat_y	ORNT	Node_Head	n/a	72.0	global
Node_Head_qz	quat_z	ORNT	Node_Head	n/a	72.0	global
Node_Head_qw	quat_w	ORNT	Node_Head	n/a	72.0	global
Node_Head_Valid_Position	n/a	MISC	Node_Head	boolean	72.0	n/a
Node_Head_Valid_Orientation	n/a	MISC	Node_Head	boolean	72.0	n/a
Node_Head_Tracked_Position	n/a	MISC	Node_Head	boolean	72.0	n/a
Node_Head_Tracked_Orientation	n/a	MISC	Node_Head	boolean	72.0	n/a
