name	component	type	tracked_point	units	sampling_frequency	reference_frame
latency	n/a	LATENCY	n/a	s	30.0	n/a
latency_global	n/a	LATENCY	n/a	s	30.0	n/a
EyeGazeHitPosition_X	x	POS	EyeGaze	m	30.0	global
EyeGazeHitPosition_Y	y	POS	EyeGaze	m	30.0	global
EyeGazeHitPosition_Z	z	POS	EyeGaze	m	30.0	global
LeftEyeGazeHitPosition_X	x	POS	LeftEyeGaze	m	30.0	global
LeftEyeGazeHitPosition_Y	y	POS	LeftEyeGaze	m	30.0	global
LeftEyeGazeHitPosition_Z	z	POS	LeftEyeGaze	m	30.0	global
RightEyeGazeHitPosition_X	x	POS	RightEyeGaze	m	30.0	global
RightEyeGazeHitPosition_Y	y	POS	RightEyeGaze	m	30.0	global
RightEyeGazeHitPosition_Z	z	POS	RightEyeGaze	m	30.0	global
LeftFocusedObject	n/a	MISC	LeftFocusedObject	n/a	30.0	n/a
RightFocusedObject	n/a	MISC	RightFocusedObject	n/a	30.0	n/a
HasLeftEyeHit	n/a	MISC	HasLeftEyeHit	n/a	30.0	n/a
HasRightEyeHit	n/a	MISC	HasRightEyeHit	n/a	30.0	n/a
RightEye_qx	quat_x	ORNT	RightEye	n/a	30.0	global
RightEye_qy	quat_y	ORNT	RightEye	n/a	30.0	global
RightEye_qz	quat_z	ORNT	RightEye	n/a	30.0	global
RightEye_qw	quat_w	ORNT	RightEye	n/a	30.0	global
LeftEye_qx	quat_x	ORNT	LeftEye	n/a	30.0	global
LeftEye_qy	quat_y	ORNT	LeftEye	n/a	30.0	global
LeftEye_qz	quat_z	ORNT	LeftEye	n/a	30.0	global
LeftEye_qw	quat_w	ORNT	LeftEye	n/a	30.0	global
LeftEye_IsValid	n/a	MISC	LeftEye	boolean	30.0	n/a
LeftEye_Confidence	n/a	MISC	LeftEye	normalized	30.0	n/a
RightEye_IsValid	n/a	MISC	RightEye	boolean	30.0	n/a
RightEye_Confidence	n/a	MISC	RightEye	normalized	30.0	n/a
Node_EyeCenter_Present	n/a	MISC	Node_EyeCenter	boolean	30.0	n/a
Node_EyeCenter_px	x	POS	Node_EyeCenter	m	30.0	global
Node_EyeCenter_py	y	POS	Node_EyeCenter	m	30.0	global
Node_EyeCenter_pz	z	POS	Node_EyeCenter	m	30.0	global
Node_EyeCenter_qx	quat_x	ORNT	Node_EyeCenter	n/a	30.0	global
Node_EyeCenter_qy	quat_y	ORNT	Node_EyeCenter	n/a	30.0	global
Node_EyeCenter_qz	quat_z	ORNT	Node_EyeCenter	n/a	30.0	global
Node_EyeCenter_qw	quat_w	ORNT	Node_EyeCenter	n/a	30.0	global
Node_EyeCenter_Valid_Position	n/a	MISC	Node_EyeCenter	boolean	30.0	n/a
Node_EyeCenter_Valid_Orientation	n/a	MISC	Node_EyeCenter	boolean	30.0	n/a
Node_EyeCenter_Tracked_Position	n/a	MISC	Node_EyeCenter	boolean	30.0	n/a
Node_EyeCenter_Tracked_Orientation	n/a	MISC	Node_EyeCenter	boolean	30.0	n/a
Node_EyeCenter_Time	n/a	LATENCY	n/a	s	30.0	n/a
