name	component	type	tracked_point	units	sampling_frequency	reference_frame
latency	n/a	LATENCY	n/a	s	30.0	n/a
latency_global	n/a	LATENCY	n/a	s	30.0	n/a
Face_Status	n/a	MISC	Face_Status	boolean	30.0	n/a
Brow_Lowerer_L	n/a	MISC	Brow_Lowerer_L	normalized	30.0	n/a
Brow_Lowerer_R	n/a	MISC	Brow_Lowerer_R	normalized	30.0	n/a
Cheek_Puff_L	n/a	MISC	Cheek_Puff_L	normalized	30.0	n/a
Cheek_Puff_R	n/a	MISC	Cheek_Puff_R	normalized	30.0	n/a
Cheek_Raiser_L	n/a	MISC	Cheek_Raiser_L	normalized	30.0	n/a
Cheek_Raiser_R	n/a	MISC	Cheek_Raiser_R	normalized	30.0	n/a
Cheek_Suck_L	n/a	MISC	Cheek_Suck_L	normalized	30.0	n/a
Cheek_Suck_R	n/a	MISC	Cheek_Suck_R	normalized	30.0	n/a
Chin_Raiser_B	n/a	MISC	Chin_Raiser_B	normalized	30.0	n/a
Chin_Raiser_T	n/a	MISC	Chin_Raiser_T	normalized	30.0	n/a
Dimpler_L	n/a	MISC	Dimpler_L	normalized	30.0	n/a
Dimpler_R	n/a	MISC	Dimpler_R	normalized	30.0	n/a
Eyes_Closed_L	n/a	MISC	Eyes_Closed_L	normalized	30.0	n/a
Eyes_Closed_R	n/a	MISC	Eyes_Closed_R	normalized	30.0	n/a
Eyes_Look_Down_L	n/a	MISC	Eyes_Look_Down_L	normalized	30.0	n/a
Eyes_Look_Down_R	n/a	MISC	Eyes_Look_Down_R	normalized	30.0	n/a
Eyes_Look_Left_L	n/a	MISC	Eyes_Look_Left_L	normalized	30.0	n/a
Eyes_Look_Left_R	n/a	MISC	Eyes_Look_Left_R	normalized	30.0	n/a
Eyes_Look_Right_L	n/a	MISC	Eyes_Look_Right_L	normalized	30.0	n/a
Eyes_Look_Right_R	n/a	MISC	Eyes_Look_Right_R	normalized	30.0	n/a
Eyes_Look_Up_L	n/a	MISC	Eyes_Look_Up_L	normalized	30.0	n/a
Eyes_Look_Up_R	n/a	MISC	Eyes_Look_Up_R	normalized	30.0	n/a
Inner_Brow_Raiser_L	n/a	MISC	Inner_Brow_Raiser_L	normalized	30.0	n/a
Inner_Brow_Raiser_R	n/a	MISC	Inner_Brow_Raiser_R	normalized	30.0	n/a
Jaw_Drop	n/a	MISC	Jaw_Drop	normalized	30.0	n/a
Jaw_Sideways_Left	n/a	MISC	Jaw_Sideways_Left	normalized	30.0	n/a
Jaw_Sideways_Right	n/a	MISC	Jaw_Sideways_Right	normalized	30.0	n/a
Jaw_Thrust	n/a	MISC	Jaw_Thrust	normalized	30.0	n/a
Lid_Tightener_L	n/a	MISC	Lid_Tightener_L	normalized	30.0	n/a
Lid_Tightener_R	n/a	MISC	Lid_Tightener_R	normalized	30.0	n/a
Lip_Corner_Depressor_L	n/a	MISC	Lip_Corner_Depressor_L	normalized	30.0	n/a
Lip_Corner_Depressor_R	n/a	MISC	Lip_Corner_Depressor_R	normalized	30.0	n/a
Lip_Corner_Puller_L	n/a	MISC	Lip_Corner_Puller_L	normalized	30.0	n/a
Lip_Corner_Puller_R	n/a	MISC	Lip_Corner_Puller_R	normalized	30.0	n/a
Lip_Funneler_LB	n/a	MISC	Lip_Funneler_LB	normalized	30.0	n/a
Lip_Funneler_LT	n/a	MISC	Lip_Funneler_LT	normalized	30.0	n/a
Lip_Funneler_RB	n/a	MISC	Lip_Funneler_RB	normalized	30.0	n/a
Lip_Funneler_RT	n/a	MISC	Lip_Funneler_RT	normalized	30.0	n/a
Lip_Pressor_L	n/a	MISC	Lip_Pressor_L	normalized	30.0	n/a
Lip_Pressor_R	n/a	MISC	Lip_Pressor_R	normalized	30.0	n/a
Lip_Pucker_L	n/a	MISC	Lip_Pucker_L	normalized	30.0	n/a
Lip_Pucker_R	n/a	MISC	Lip_Pucker_R	normalized	30.0	n/a
Lip_Stretcher_L	n/a	MISC	Lip_Stretcher_L	normalized	30.0	n/a
Lip_Stretcher_R	n/a	MISC	Lip_Stretcher_R	normalized	30.0	n/a
Lip_Suck_LB	n/a	MISC	Lip_Suck_LB	normalized	30.0	n/a
Lip_Suck_LT	n/a	MISC	Lip_Suck_LT	normalized	30.0	n/a
Lip_Suck_RB	n/a	MISC	Lip_Suck_RB	normalized	30.0	n/a
Lip_Suck_RT	n/a	MISC	Lip_Suck_RT	normalized	30.0	n/a
Lip_Tightener_L	n/a	MISC	Lip_Tightener_L	normalized	30.0	n/a
Lip_Tightener_R	n/a	MISC	Lip_Tightener_R	normalized	30.0	n/a
Lips_Toward	n/a	MISC	Lips_Toward	normalized	30.0	n/a
Lower_Lip_Depressor_L	n/a	MISC	Lower_Lip_Depressor_L	normalized	30.0	n/a
Lower_Lip_Depressor_R	n/a	MISC	Lower_Lip_Depressor_R	normalized	30.0	n/a
Mouth_Left	n/a	MISC	Mouth_Left	normalized	30.0	n/a
Mouth_Right	n/a	MISC	Mouth_Right	normalized	30.0	n/a
Nose_Wrinkler_L	n/a	MISC	Nose_Wrinkler_L	normalized	30.0	n/a
Nose_Wrinkler_R	n/a	MISC	Nose_Wrinkler_R	normalized	30.0	n/a
Outer_Brow_Raiser_L	n/a	MISC	Outer_Brow_Raiser_L	normalized	30.0	n/a
Outer_Brow_Raiser_R	n/a	MISC	Outer_Brow_Raiser_R	normalized	30.0	n/a
Upper_Lid_Raiser_L	n/a	MISC	Upper_Lid_Raiser_L	normalized	30.0	n/a
Upper_Lid_Raiser_R	n/a	MISC	Upper_Lid_Raiser_R	normalized	30.0	n/a
Upper_Lip_Raiser_L	n/a	MISC	Upper_Lip_Raiser_L	normalized	30.0	n/a
Upper_Lip_Raiser_R	n/a	MISC	Upper_Lip_Raiser_R	normalized	30.0	n/a
Tongue_Tip_Interdental	n/a	MISC	Tongue_Tip_Interdental	normalized	30.0	n/a
Tongue_Tip_Alveolar	n/a	MISC	Tongue_Tip_Alveolar	normalized	30.0	n/a
Tongue_Front_Dorsal_Palate	n/a	MISC	Tongue_Front_Dorsal_Palate	normalized	30.0	n/a
Tongue_Mid_Dorsal_Palate	n/a	MISC	Tongue_Mid_Dorsal_Palate	normalized	30.0	n/a
Tongue_Back_Dorsal_Velar	n/a	MISC	Tongue_Back_Dorsal_Velar	normalized	30.0	n/a
Tongue_Out	n/a	MISC	Tongue_Out	normalized	30.0	n/a
Tongue_Retreat	n/a	MISC	Tongue_Retreat	normalized	30.0	n/a
FaceRegionConfidence_Lower	n/a	MISC	FaceRegionConfidence_Lower	normalized	30.0	n/a
FaceRegionConfidence_Upper	n/a	MISC	FaceRegionConfidence_Upper	normalized	30.0	n/a
