name	component	type	tracked_point	units	sampling_frequency	reference_frame
latency	n/a	LATENCY	n/a	s	90.0	n/a
latency_global	n/a	LATENCY	n/a	s	90.0	n/a
Node_HandLeft_Present	n/a	MISC	Node_HandLeft	boolean	90.0	n/a
Node_HandLeft_px	x	POS	Node_HandLeft	m	90.0	global
Node_HandLeft_py	y	POS	Node_HandLeft	m	90.0	global
Node_HandLeft_pz	z	POS	Node_HandLeft	m	90.0	global
Node_HandLeft_qx	quat_x	ORNT	Node_HandLeft	n/a	90.0	global
Node_HandLeft_qy	quat_y	ORNT	Node_HandLeft	n/a	90.0	global
Node_HandLeft_qz	quat_z	ORNT	Node_HandLeft	n/a	90.0	global
Node_HandLeft_qw	quat_w	ORNT	Node_HandLeft	n/a	90.0	global
Node_HandLeft_Valid_Position	n/a	MISC	Node_HandLeft	boolean	90.0	n/a
Node_HandLeft_Valid_Orientation	n/a	MISC	Node_HandLeft	boolean	90.0	n/a
Node_HandLeft_Tracked_Position	n/a	MISC	Node_HandLeft	boolean	90.0	n/a
Node_HandLeft_Tracked_Orientation	n/a	MISC	Node_HandLeft	boolean	90.0	n/a
Node_HandRight_Present	n/a	MISC	Node_HandRight	boolean	90.0	n/a
Node_HandRight_px	x	POS	Node_HandRight	m	90.0	global
Node_HandRight_py	y	POS	Node_HandRight	m	90.0	global
Node_HandRight_pz	z	POS	Node_HandRight	m	90.0	global
Node_HandRight_qx	quat_x	ORNT	Node_HandRight	n/a	90.0	global
Node_HandRight_qy	quat_y	ORNT	Node_HandRight	n/a	90.0	global
Node_HandRight_qz	quat_z	ORNT	Node_HandRight	n/a	90.0	global
Node_HandRight_qw	quat_w	ORNT	Node_HandRight	n/a	90.0	global
Node_HandRight_Valid_Position	n/a	MISC	Node_HandRight	boolean	90.0	n/a
Node_HandRight_Valid_Orientation	n/a	MISC	Node_HandRight	boolean	90.0	n/a
Node_HandRight_Tracked_Position	n/a	MISC	Node_HandRight	boolean	90.0	n/a
Node_HandRight_Tracked_Orientation	n/a	MISC	Node_HandRight	boolean	90.0	n/a
Node_HandRight_Time	n/a	LATENCY	n/a	s	90.0	n/a
LeftHand_Status_HandTracked	n/a	MISC	LeftHand_Status_HandTracked	n/a	90.0	n/a
LeftHand_Status_InputStateValid	n/a	MISC	LeftHand_Status_InputStateValid	n/a	90.0	n/a
LeftHand_Status_SystemGestureInProgress	n/a	MISC	LeftHand_Status_SystemGestureInProgress	n/a	90.0	n/a
LeftHand_Status_DominantHand	n/a	MISC	LeftHand_Status_DominantHand	n/a	90.0	n/a
LeftHand_Status_MenuPressed	n/a	MISC	LeftHand_Status_MenuPressed	n/a	90.0	n/a
LeftHand_Root_px	x	POS	LeftHand_Root	m	90.0	global
LeftHand_Root_py	y	POS	LeftHand_Root	m	90.0	global
LeftHand_Root_pz	z	POS	LeftHand_Root	m	90.0	global
LeftHand_Root_qx	quat_x	ORNT	LeftHand_Root	n/a	90.0	global
