onset	duration	name	Task	Trial	OptionAName	OptionBName	Choice	ChosenOption	HandUsed	ReactionTime	displayTime	ChoiceTime	ChoiceId	RendererCenterX	RendererCenterY	RendererCenterZ	RendererSizeX	RendererSizeY	RendererSizeZ	ColliderCenterX	ColliderCenterY	ColliderCenterZ	ColliderSizeX	ColliderSizeY	ColliderSizeZ	TrialName
1.436816	0.0	StimulusBounds	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	A	-0.2	1.4	0.6	0.3584	0.3584	0.2	-0.2	1.4	0.595	0.3584	0.3584001	0.00999999	n/a
1.436816	0.0	StimulusBounds	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	B	0.2	1.4	0.6	0.3584	0.3584	0.2	0.2	1.4	0.595	0.3584	0.3584001	0.00999999	n/a
1.438843	0.0	session_start	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.810084	0.0	task_start:1 Fixed Order Round Example	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.810555	3.51081	task_instructions:1 Fixed Order Round Example	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.321815	0.0	trial_start:1 Fixed Order Round Example_t0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.321815	0.9583731	TrialsData	1 Fixed Order Round Example	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1 Fixed Order Round Example_t0
8.279228	0.0	ChoiceEvents	1 Fixed Order Round Example	0.0	Snack_001	Snack_002	Snack_002	B	Right	0.9551334	7.323154	8.278288	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.282454	0.5106506	fixation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.793265	0.0	trial_start:1 Fixed Order Round Example_t1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.793265	1.670758	TrialsData	1 Fixed Order Round Example	1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1 Fixed Order Round Example_t1
